"gid","name","sequence"
"766","CPS1","608307.0001"
"767","NAGS","608300.0001"
"768","SLCO1B1","604843.0001"
"769","SLCO1B3","605495.0001"
"770","ABCC2","601107.0001"
"771","AASS","605113.0001"
"772","SLC25A15","603861.0001"
"773","TNFRSF11B","602643.0001"
"774","CASR","601199.0002"
"775","PIGV","610274.0001"
"776","PRODH","606810.0001"
"777","P5CDH","606811.0001"
"778","ABCC9","601439.0004"
"779","AIRE","607358.0001"
"780","TNFRSF13B","604907.0001"
"781","ABCC8","600509.0012"
"782","AKT2","164731.0002"
"783","DCAF17","612515.0001"
"784","KCNJ1","600359.0001"
"785","TCBE","604934.0001"
"786","ALPL","171760.0001"
"787","ALPL","171760.0003"
"788","SLC34A3","609826.0001"
"789","B2M","109700.0001"
"790","ALOX12B","603741.0001"
"791","TGM1","190195.0001"
"792","ABCA12","607800.0006"
"793","PIGL","605947.0001"
"794","MID1","300000.0001"
"795","ARX","300382.0015"
"796","FLNA","300017.0025"
"797","FLNA","300017.0001"
"798","CLCN5","300008.0001"
"799","MECP2","300005.0009"
"800","SMPX","300226.0001"
"801","DCX","300121.0001"
"802","AR","313700.0001"
"803","PCDH19","300460.0001"
"804","ABCD1","300371.0001"
"805","CLCN4","302910.0001"
"806","IL1RAPL","300206.0001"
"807","BCOR","300485.0001"
"808","NR0B1","300473.0001"
"809","LAMP2","309060.0001"
"810","OFD1","300170.0007"
"811","TSPAN7","300096.0001"
"812","RAB39B","300774.0001"
"813","ARX","300382.0005"
"814","SLC9A6","300231.0001"
"815","WAS","300392.0012"
"816","MECP2","300005.0030"
"817","PHF8","300560.0001"
"818","CUL4B","300304.0001"
"819","GATA1","305371.0001"
"820","FAM123B","300647.0001"
"821","DMD","300377.0002"
"822","HPRT1","308000.0004"
"823","HPRT1","308000.0001"
"824","ACSL4","300157.0001"
"825","SLC6A8","300036.0001"
"826","IL2RG","308380.0001"
"827","IGBP1","300139.0001"
"828","BCAP31","300398.0001"
"829","CACNA1F","300110.0007"
"830","ARX","300382.0002"
"831","ATP6AP2","300556.0001"
"832","OFD1","300170.0011"
"833","OPHN1","300127.0001"
"834","NLGN3","300336.0001"
"835","ATP7A","300011.0015"
"836","SYN1","313440.0001"
"837","SHROOM4","300579.0001"
"838","NLGN4","300427.0001"
"839","ARHGEF6","300267.0001"
"840","MECP2","300005.0011"
"841","HSD17B10","300256.0001"
"842","PAK3","300142.0001"
"843","BMP15","300247.0001"
"844","DIAPH2","300108.0001"
"845","ZDHHC15","300576"
"846","RP2","312600"
"847","MCT8","300095.0001"
"848","SMC1A","300040.0001"
"849","JARID1C","314690.0001"
"850","AVPR2","300538.0021"
"851","CLCN5","300008.0007"
"852","PHKA1","311870.0001"
"853","OCRL","300535.0005"
"854","PGK1","311800.0002"
"855","PRPS1","311850.0001"
"856","POF1B","300603.0001"
"857","ARHGEF9","300429.0001"
"858","CDKL5","300203.0001"
"859","MECP2","300005.0003"
"860","MAOA","309850.0001"
"861","UPF3B","300298.0001"
"862","FMR1","309550.0004"
"863","FMR1","309550.0001"
"864","AR","313700.0020"
"865","FHL1","300163.0001"
"866","FHL1","300163.0002"
"867","IKBKG","300248.0021"
"868","GRIA3","305915.0001"
"869","CYBB","300481.0022"
"870","BRWD3","300553.0001"
"871","BTK","300300.0001"
"872","FAM58A","300708.0001"
"873","FHL1","300163.0004"
"874","FHL1","300163.0006"
"875","CASK","300172.0001"
"876","ALAS2","301300.0001"
"877","ALAS2","301300.0015"
"878","MAMLD1","300120.0001"
"879","DLG3","300189.0001"
"880","HDAC6","300272.0001"
"881","ZNF711","314990.0001"
"882","OFD1","300170.0008"
"883","KDM6A","300128.0001"
"884","PIGA","311770.0011"
"885","AIFM1","300169.0001"
"886","TMLHE","300777.0001"
"887","PIGA","311770.0001"
"888","HDAC8","300269.0002"
"889","ALG13","300776.0001"
"890","PTCHD1","300828.0001"
"891","NSDHL","300275.0007"
"892","CLIC2","300138.0001"
"893","SOX3","313430"
"894","COX7B","300885.0001"
"895","RPGR","312610.0017"
